version	releaseDate	bugFixes	newFeatures	breakingChanges
130.2.0	9/8/2024	0	2	0
130.1.1	9/5/2024	0	1	0
130.1.0	9/5/2024	0	1	0
130.0.0	9/4/2024	0	1	1
129.0.0	9/4/2024	0	1	1
128.0.1	9/4/2024	1	0	0
128.0.0	9/4/2024	0	3	1
127.0.0	9/4/2024	0	1	1
126.1.0	9/3/2024	0	1	0
126.0.1	9/3/2024	1	0	0
126.0.0	9/3/2024	0	4	1
125.8.0	9/2/2024	0	1	0
125.7.0	9/2/2024	0	1	0
125.6.0	9/2/2024	0	1	0
125.5.1	9/2/2024	1	0	0
125.5.0	9/2/2024	0	2	0
125.4.0	9/1/2024	0	1	0
125.3.0	9/1/2024	0	1	0
125.2.0	8/31/2024	0	1	0
125.1.0	8/30/2024	0	1	0
125.0.1	8/29/2024	1	0	0
125.0.0	8/29/2024	0	1	2
124.1.0	8/28/2024	0	1	0
124.0.0	8/27/2024	0	0	3
123.3.0	8/27/2024	0	1	0
123.2.0	8/26/2024	0	3	0
123.1.0	8/26/2024	0	2	0
123.0.0	8/25/2024	0	1	2
122.0.0	8/25/2024	0	1	1
121.0.1	8/20/2024	1	0	0
121.0.0	8/19/2024	0	1	3
120.2.1	8/19/2024	1	0	0
120.2.0	8/15/2024	0	2	0
120.1.0	8/15/2024	0	1	0
120.0.0	8/14/2024	0	4	2
119.0.0	8/13/2024	0	3	3
118.9.0	8/11/2024	0	1	0
118.8.0	8/11/2024	0	1	0
118.7.0	8/11/2024	0	1	0
118.6.3	8/10/2024	1	0	0
118.6.2	8/9/2024	1	0	0
118.6.1	8/9/2024	1	0	0
118.6.0	8/9/2024	0	2	0
118.5.0	8/8/2024	0	1	0
118.4.0	8/6/2024	0	1	0
118.3.0	8/6/2024	1	2	0
118.2.2	8/6/2024	1	0	0
118.2.1	8/6/2024	1	0	0
118.2.0	8/6/2024	0	1	0
118.1.0	8/6/2024	0	1	0
118.0.0	8/6/2024	0	4	1
117.1.0	8/5/2024	0	1	0
117.0.1	8/5/2024	1	0	0
117.0.0	8/5/2024	0	5	1
116.0.0	8/3/2024	0	0	1
115.2.0	8/3/2024	1	0	0
115.1.0	8/3/2024	1	0	0
115.0.2	8/3/2024	1	0	0
115.0.1	8/3/2024	1	0	0
115.0.0	8/3/2024	0	2	8
114.0.0	8/2/2024	1	1	1
113.0.0	8/1/2024	0	2	2
112.1.2	7/31/2024	1	0	0
112.1.1	7/31/2024	1	0	0
112.1.0	7/31/2024	0	1	0
112.0.0	7/31/2024	0	1	2
111.5.0	7/29/2024	0	1	0
111.4.0	7/29/2024	0	1	0
111.3.0	7/29/2024	0	1	0
111.2.0	7/29/2024	0	1	0
111.1.0	7/26/2024	1	1	0
111.0.0	7/26/2024	0	1	1
110.3.0	7/25/2024	1	1	0
110.2.0	7/25/2024	0	2	0
110.1.0	7/25/2024	0	1	0
110.0.0	7/24/2024	0	1	3
109.5.0	7/21/2024	0	4	0
109.4.0	7/21/2024	0	1	0
109.3.0	7/20/2024	0	1	0
109.2.0	7/19/2024	0	1	0
109.1.0	7/19/2024	0	2	0
109.0.2	7/19/2024	1	0	0
109.0.1	7/19/2024	1	0	0
109.0.0	7/18/2024	0	3	2
108.3.1	7/16/2024	1	0	0
108.3.0	7/16/2024	0	3	0
108.2.0	7/15/2024	0	1	0
108.1.0	7/15/2024	0	1	0
108.0.0	7/15/2024	0	0	1
107.3.0	7/14/2024	0	4	0
107.2.0	7/14/2024	0	2	0
107.1.0	7/14/2024	0	1	0
107.0.0	7/14/2024	1	2	1
106.0.1	7/13/2024	1	0	0
106.0.0	7/11/2024	0	1	1
105.1.0	7/11/2024	0	1	0
105.0.0	7/11/2024	0	0	2
104.0.0	7/11/2024	0	0	1
103.0.2	7/11/2024	1	0	0
103.0.1	7/11/2024	1	0	0
103.0.0	7/10/2024	0	0	1
102.3.0	7/08/2024	0	1	0
102.2.2	7/08/2024	1	0	0
102.2.1	7/08/2024	1	0	0
102.2.0	7/08/2024	0	1	0
102.1.0	7/07/2024	0	1	0
102.0.0	7/06/2024	0	1	1
101.6.0	7/06/2024	0	1	0
101.5.0	7/05/2024	0	1	0
101.4.0	7/04/2024	0	1	0
101.3.0	7/03/2024	0	1	0
101.2.0	7/03/2024	1	1	0
101.0.1	7/03/2024	1	0	0
101.0.0	7/03/2024	0	3	5
100.0.0	7/02/2024	0	2	1
99.2.0	7/01/2024	0	2	0
99.1.0	7/01/2024	0	1	0
99.0.0	6/30/2024	0	0	1
98.0.2	6/30/2024	1	0	0
98.0.1	6/29/2024	1	0	0
98.0.0	6/26/2024	0	0	4
97.4.0	6/25/2024	0	1	0
97.3.1	6/24/2024	1	0	0
97.3.0	6/24/2024	0	1	0
97.2.0	6/23/2024	0	1	0
97.1.1	6/21/2024	1	0	0
97.1.0	6/21/2024	0	1	0
97.0.0	6/19/2024	0	1	0
96.0.0	6/18/2024	0	1	1
95.2.0	6/16/2024	0	1	0
95.1.0	6/14/2024	0	1	0
95.0.0	6/11/2024	0	1	2
94.0.1	6/1/2024	1	0	0
94.0.0	5/31/2024	0	1	1
93.7.1	5/30/2024	1	0	0
93.7.0	5/29/2024	0	1	0
93.6.2	5/28/2024	1	0	0
93.6.1	5/28/2024	1	0	0
93.6.0	5/28/2024	0	1	0
93.5.0	5/27/2024	0	1	0
93.4.0	5/27/2024	0	1	0
93.3.0	5/27/2024	1	2	0
93.2.0	5/23/2024	0	1	0
93.1.0	5/23/2024	1	1	0
93.0.0	5/21/2024	0	1	1
92.0.0	5/20/2024	0	1	1
91.0.0	5/19/2024	0	1	1
90.5.0	5/19/2024	0	1	0
90.4.1	5/19/2024	1	0	0
90.4.0	5/19/2024	0	1	0
90.3.0	5/18/2024	0	1	0
90.2.3	5/18/2024	1	0	0
90.2.2	5/18/2024	1	0	0
90.2.1	5/18/2024	2	0	0
90.2.0	5/18/2024	0	2	0
90.1.1	5/17/2024	1	0	0
90.1.0	5/17/2024	0	1	0
90.0.0	5/16/2024	0	0	1
89.2.1	5/16/2024	1	1	0
89.2.0	5/16/2024	0	1	0
89.1.2	5/16/2024	1	0	0
89.1.1	5/16/2024	1	0	0
89.1.0	5/15/2024	0	1	0
89.0.0	5/15/2024	0	1	1
88.0.0	5/15/2024	0	1	1
87.0.1	5/15/2024	1	0	0
87.0.0	5/14/2024	0	0	1
86.0.2	5/12/2024	1	0	0
86.0.1	5/12/2024	1	0	0
86.0.0	5/12/2024	0	1	1
85.9.0	5/12/2024	0	3	0
85.8.0	5/10/2024	0	1	0
85.7.0	5/10/2024	0	1	0
85.6.0	5/10/2024	0	1	0
85.5.0	5/10/2024	0	1	0
85.4.0	5/10/2024	0	1	0
85.3.0	5/10/2024	0	1	0
85.2.1	5/10/2024	1	0	0
85.2.0	5/10/2024	1	1	0
85.1.0	5/09/2024	0	1	0
85.0.0	5/08/2024	0	1	2
84.10.1	5/08/2024	1	0	0
84.10.0	5/08/2024	0	1	0
84.9.0	5/08/2024	0	1	0
84.8.1	5/07/2024	1	0	0
84.8.0	5/07/2024	0	1	0
84.7.0	5/07/2024	0	1	0
84.6.0	5/07/2024	0	2	0
84.5.1	5/07/2024	1	0	0
84.5.0	5/07/2024	0	2	0
84.4.0	5/06/2024	0	2	0
84.3.0	5/06/2024	0	1	0
84.2.0	5/06/2024	1	2	0
84.1.0	5/04/2024	0	2	0
84.0.0	5/04/2024	0	4	3
83.3.0	5/04/2024	0	1	0
83.2.0	5/04/2024	0	4	0
83.1.0	5/03/2024	0	1	0
83.0.0	5/03/2024	0	2	1
82.2.0	5/03/2024	0	1	0
82.1.0	5/03/2024	0	1	0
82.0.1	5/01/2024	1	0	0
82.0.0	5/01/2024	0	4	0
81.2.0	4/30/2024	0	1	0
81.1.0	4/29/2024	1	1	0
81.0.0	4/29/2024	2	0	1
80.2.1	4/29/2024	1	0	0
80.2.0	4/29/2024	0	1	0
80.1.0	4/29/2024	0	1	0
80.0.0	4/29/2024	0	1	0
79.1.0	4/27/2024	0	1	0
79.0.1	4/27/2024	1	0	0
79.0.0	4/27/2024	0	1	1
78.0.2	4/27/2024	1	0	0
78.0.1	4/26/2024	1	0	0
78.0.0	4/25/2024	0	1	1
77.3.1	4/23/2024	1	0	0
77.3.0	4/22/2024	0	0	0
77.2.0	4/22/2024	0	0	0
77.1.0	4/21/2024	0	1	0
77.0.0	4/21/2024	0	1	1
76.0.0	4/19/2024	0	0	1
75.2.1	4/18/2024	1	0	0
75.2.0	4/18/2024	1	0	0
75.1.1	4/16/2024	1	0	0
75.1.0	4/10/2024	0	1	0
75.0.0	4/06/2024	1	0	0
74.0.0	4/06/2024	0	0	0
73.2.0	4/05/2024	0	1	0
73.1.0	4/05/2024	0	2	0
73.0.0	4/03/2024	0	1	0
72.4.4	2/07/2024	1	0	0
72.4.3	11/04/2023	1	0	0
72.4.2	11/04/2023	1	0	0
72.4.1	11/04/2023	1	0	0
72.4.0	6/27/2023	0	2	0
72.3.0	6/13/2023	1	1	0
72.2.0	5/31/2023	0	1	0
72.1.0	5/26/2023	1	0	0
72.0.0	5/25/2023	0	1	0
71.5.0	5/19/2023	0	3	0
71.4.0	5/9/2023	0	1	0
71.3.0	5/8/2023	0	1	0
71.2.0	5/07/2023	3	0	0
71.1.0	5/07/2023	1	2	0
71.0.0	5/06/2023	0	2	2
70.0.0	4/29/2023	0	1	0
69.3.0	4/26/2023	0	1	0
69.2.0	4/18/2023	0	3	0
69.1.4	4/13/2023	1	0	0
69.1.3	4/13/2023	1	0	0
69.1.1	4/13/2023	1	0	0
69.1.0	4/13/2023	0	1	0
69.0.0	4/9/2023	0	0	3
68.0.0	4/3/2023	0	0	2
67.1.0	4/3/2023	0	0	0
67.0.0	4/2/2023	0	1	6
66.0.0	4/2/2023	0	0	1
65.0.0	3/30/2023	0	1	0
64.0.0	3/28/2023	0	1	0
63.1.0	3/27/2023	1	2	0
63.0.1	3/27/2023	1	0	0
63.0.0	3/27/2023	0	0	3
62.5.1	3/27/2023	1	0	0
62.5.0	3/23/2023	0	1	0
62.4.0	3/23/2023	1	0	0
62.3.0	3/22/2023	0	1	0
62.2.0	3/15/2023	0	1	0
62.1.0	3/13/2023	0	1	0
62.0.1	3/13/2023	1	0	0
62.0.0	3/11/2023	0	1	2
61.0.0	3/11/2023	0	0	1
60.0.0	3/10/2023	0	1	1
59.6.0	3/10/2023	0	1	0
59.5.0	3/9/2023	0	1	0
59.4.0	3/7/2023	1	1	0
59.3.0	3/6/2023	1	0	0
59.2.0	3/6/2023	0	1	0
59.1.0	3/6/2023	0	1	0
59.0.0	3/3/2023	1	2	0
58.5.1	3/2/2023	1	0	0
58.5.0	3/2/2023	0	1	0
58.4.0	3/1/2023	0	1	0
58.3.1	2/28/2023	1	0	0
58.3.0	2/28/2023	0	2	0
58.2.3	2/22/2023	1	0	0
58.2.2	2/21/2023	1	0	0
58.2.1	2/21/2023	1	0	0
58.2.0	2/21/2023	0	1	0
58.1.0	2/16/2023	0	1	0
58.0.1	2/9/2023	1	0	0
58.0.0	2/9/2023	1	0	2
57.0.1	2/8/2023	1	0	0
57.0.0	2/8/2023	1	3	2
56.1.0	2/8/2023	0	1	0
56.0.1	2/7/2023	1	0	0
56.0.0	2/7/2023	0	0	1
55.6.0	2/7/2023	1	0	0
55.5.0	1/31/2023	0	3	0
55.4.1	1/31/2023	1	0	0
55.4.0	1/30/2023	0	1	0
55.3.0	1/29/2023	0	1	0
55.2.0	1/26/2023	1	0	0
55.1.0	1/20/2023	0	1	0
55.0.1	1/19/2023	1	0	0
55.0.0	1/19/2023	2	0	1
54.1.0	1/19/2023	1	0	0
54.0.0	1/19/2023	1	2	2
53.0.2	1/18/2023	1	0	0
53.0.1	1/17/2023	1	0	0
53.0.0	1/17/2023	0	0	1
52.2.1	1/16/2023	1	0	0
52.2.0	1/13/2023	0	1	0
52.1.1	1/12/2023	1	0	0
52.1.0	1/12/2023	1	0	0
52.0.0	1/10/2023	0	1	1
51.0.0	1/9/2023	0	1	1
50.2.0	1/5/2023	1	1	0
50.1.0	1/5/2023	0	1	0
50.0.0	1/4/2023	0	1	1
49.1.0	1/4/2023	0	1	0
49.0.0	1/4/2023	1	0	2
48.3.0	1/2/2023	0	1	0
48.2.0	1/2/2023	0	1	0
48.1.0	1/2/2023	2	0	0
48.0.0	1/1/2023	0	1	3
47.4.0	12/30/2022	0	1	0
47.3.0	12/29/2022	0	1	0
47.2.1	12/29/2022	1	0	0
47.2.0	12/29/2022	0	1	0
47.1.2	12/05/2022	1	0	0
