id,isPopular,description,popularity,example,category
fileNav,,Titles and links in group(s).,5,printSnippets index,
font,,Quickly set font family.,722,font Slim,
footer,,HTML tag.,0,"footer
p Made with love",
form,,HTML tag.,0,"form
input",
h1,,HTML tag.,0,"main
h1 Title",
h2,,HTML tag.,0,"main
h2 Title",
h3,,HTML tag.,0,"main
h3 Title",
h4,,HTML tag.,0,"main
h4 Title",
header,,HTML tag.,0,"header
# Title",
heatrix,,A heatmap matrix data visualization.,0,"heatrix
'2007 '2008 '2009 '2010 '2011 '2012 '2013 '2014 '2015 '2016 '2017 '2018 '2019 '2020 '2021 '2022 '2023 '2024
4 11 23 37 3 14 12 0 0 0 5 1 2 11 15 10 12 56",
heatrixAdvanced,,Advanced heatrix.,5,"heatrix
datatable
  
 %h10; '2007 '2008 '2009
  12 4 323
scale
 #ebedf0 0
 #c7e9c0 100
 #a1d99b 400
 #74c476 1600",
helpfulNotFound,,Helpful not found widget.,5,,
homeButton,,Home button.,640,,
html,,HTML one liners or blocks.,5,,
htmlLang,,Override HTML lang attribute.,0,,
iframe,,HTML tag.,0,iframe,
iframes,,An iframe(s).,13,iframes frame.html,
img,,HTML tag.,0,img foo.png,
import,,Import a file.,753,import header.scroll,
importOnly,,Don't build this file.,3357,,
inlineCss,,Inline CSS from files.,722,,
inlineJs,,Inline JS from files.,722,,
inlineMarkups,,Set global inline markups.,3,"inlineMarkups
* 
 // Disable * for bold
_ u
 // Make _ underline",
input,,HTML tag.,0,"input
type text
placeholder Enter your name",
iris,,Iris dataset from R.A. Fisher.,214,"iris
printTable
scatter
 x SepalLength
 y SepalWidth",
jsonScript,,Include JSON and assign to window.,753,,
katex,,KaTex widget for typeset math.,160,"katex
\text{E} = \text{T} / \text{A}!",
kbd,,HTML tag.,0,"main
kbd Ctrl+→",
keyboardNav,,Make left and right navigate files.,748,,
keywords,,Keywords for SEO meta tag.,169,,
label,,HTML tag.,0,"label Name
for username",
leftRightButtons,,Previous and next nav buttons.,635,,
li,,HTML tag.,0,"ol
li A list",
linechart,,Line chart widget.,0,"iris
linechart
 x SepalLength
 y SepalWidth",
linkTitle,,Text for links.,753,"title My blog - Eureka
linkTitle Eureka",
loadConcepts,,Import all concepts in a folder.,0,,
loremIpsum,,Generate dummy text.,0,,
main,,HTML tag.,0,"main
# Title",
map,,Map widget.,0,,
mediumColumn,,A medium column section.,338,,
mediumColumns,,Medium width columns.,338,,
meta,,HTML tag.,0,"meta
name description
content A great page about meta tags",
metaTags,,Print meta tags including title.,770,,
modal,,A modal dialog overlay.,0,,
moveToFooter,,Move a section to the footer.,0,,
music,,Play sound files.,3,music sipOfCoffee.m4a,
nav,,HTML tag.,0,"nav
a Home
 href /",
nickelbackIpsum,,Generate dummy text.,0,,
noFormat,,Don't format below this line.,0,,
notices,,Display messages in URL query parameters.,0,,
ol,,HTML tag.,0,"ol
li A list",
openGraphImage,,Override Open Graph Image.,80,,
option,,HTML tag.,0,"select
option Choose an option
option First Option",
p,,A paragraph.,189,p I had a _new_ idea.,
permalink,,Override output filename.,27,,
plainText,,Plain text oneliner or block.,0,,
plainTextOnly,,Only print for buildTxt.,8,,
popMacros,,Clear 1 or more macros.,0,,
posts,,Posts as datatable.,3,"// Print a search datatable:
posts
printTable
tableSearch
// Dump a CSV of blog:
buildHtml
buildCsv
buildJson",
postsMeta,,Post meta as datatable.,3,,
pre,,HTML tag.,0,pre,
printColumn,,Print one column,3,printColumn tags,
printFeed,,Print group to RSS.,5,"printFeed index
printFeed cars/index
buildRss",
printFormatLinks,,Prints links to other formats.,0,printFormatLinks,
printFullSnippets,,Print full pages in group(s).,5,printSnippets index,
printRelated,,Print links to related posts.,119,printSnippets index,
printShortSnippets,,Titles and descriptions in group(s).,5,printSnippets index,
printSiteMap,,Print text sitemap.,8,"baseUrl http://test.com
printSiteMap",
printSnippets,,Prints snippets matching tag(s).,34,printSnippets index,
printSource,,Print source for files in group(s).,3,"printSource index
buildTxt source.txt",
printTable,,Print datatable.,109,,
printUsageStats,,Parser usage stats for folder.,10,,
prism,,A code block with syntax highlighting.,193,"prism javascript
const hello = ""world"";
console.log(hello);",
prismFromFile,,A code block with syntax highlighting.,193,prismFromFile math.py,
qrcode,,Make a QR code from a link.,0,qrcode https://scroll.pub,
quote,,A quote.,148,,
redirectTo,,HTML redirect tag.,8,redirectTo https://scroll.pub/releaseNotes.html,
replace,,Replace this with that.,0,replace YEAR 2022,
replaceJs,,Replace this with evaled JS.,0,"replaceJs SUM 1+1
* 1+1 = SUM",
replaceNodejs,,Replace with evaled Node.JS.,0,"replaceNodejs
module.exports = {SCORE : 1 + 2}
* The score is SCORE",
rssFeedUrl,,Set RSS feed URL.,885,,
run,,Run script and dump stdout.,3,,
runNodejs,,Run as a Node.JS module.,0,"runNodejs
module.exports = ""# Hello world""",
sampleData,,Sample dataset from Vega.,214,"sampleData zipcodes.csv
printTable",
scatterplot,,Scatterplot Widget.,0,"iris
scatterplot",
script,,Print script tag.,0,,
scrollButton,,A button.,0,scrollButton Click me,
scrollForm,,Generate a Scroll Form.,640,,
scrollVersionLink,,Print Scroll version.,630,,
section,,HTML tag.,0,"section
# Hello world
p This is a test
section
 # Deeper",
select,,HTML tag.,0,"select
option Value 1
option Value 2",
slideshow,,Slideshow widget. *** delimits slides.,0,"slideshow
Why did the cow cross the road?
***
Because it wanted to go to the MOOOO-vies.
***
THE END
****",
span,,HTML tag.,0,span Hello,
sparkline,,Sparkline widget.,3,sparkline 1 2 3 4 5,
