Scroll Cloc Stats
=================

Files
=====

Code
====

files,language,blank,comment,code
114,Parsers,463,0,8178
148,Scroll,2117,0,6898
12,JavaScript,174,102,950
2,SVG,0,0,226
2,JSON,0,0,113
3,CSS,8,0,110
4,YAML,6,3,68
1,Text,0,0,8
1,HTML,0,0,5
1,Markdown,1,0,5
1,Python,0,0,1
289,SUM,2769,105,16562

Built with Scroll v180.0.1
